part_file,normal_x,normal_y,normal_z,plane_offset_mm,patch_area_mm2,n_triangles,bbox_u_mm,bbox_v_mm,fill_ratio,largest_inscribed_square_mm,square1_cx_mm,square1_cy_mm,square1_cz_mm,second_square_mm,square2_cx_mm,square2_cy_mm,square2_cz_mm,pair_baseline_mm,centroid_x_mm,centroid_y_mm,centroid_z_mm
Alt_Govde.stl,-0.2878,0.9577,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-15.53,57.89,-6.80,1.20,-22.04,55.94,-3.60,7.52,-17.07,57.43,-6.50
Alt_Govde.stl,0.2819,-0.9595,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,18.61,-56.98,-6.20,1.20,12.09,-58.89,-9.40,7.52,17.07,-57.43,-6.50
Alt_Govde.stl,-0.2878,-0.9577,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-15.53,-57.89,-6.20,1.20,-22.04,-55.94,-9.40,7.52,-17.07,-57.43,-6.50
Alt_Govde.stl,0.2819,0.9595,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,18.61,56.98,-6.80,1.20,12.09,58.89,-3.60,7.52,17.07,57.43,-6.50
Alt_Govde.stl,0.9868,-0.1619,-0.0003,59.91,75.8,10,7.00,10.82,1.001,7.60,59.38,-8.10,-6.20,1.20,58.28,-14.81,-9.40,7.52,59.12,-9.69,-6.50
Alt_Govde.stl,0.9868,0.1619,-0.0003,59.91,75.8,10,7.00,10.82,1.001,7.60,59.06,10.10,-6.20,0.00,0.00,0.00,0.00,0.00,59.12,9.69,-6.50
Alt_Govde.stl,-0.9872,-0.1598,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-59.38,-8.10,-6.80,1.20,-58.29,-14.82,-3.60,7.52,-59.12,-9.69,-6.50
Alt_Govde.stl,-0.9872,0.1598,0.0000,59.91,75.8,10,7.00,10.82,1.001,7.60,-58.87,11.28,-6.80,1.20,-59.95,4.57,-3.60,7.52,-59.12,9.69,-6.50
Alt_Govde.stl,-0.0001,-1.0000,0.0004,59.91,75.8,10,7.00,10.82,1.001,7.20,1.81,-59.91,-6.40,1.60,-4.99,-59.91,-9.20,7.35,0.00,-59.91,-6.50
Alt_Govde.stl,1.0000,0.0000,-0.0012,59.95,60.7,8,7.00,8.66,1.001,7.20,59.94,0.73,-6.40,0.00,0.00,0.00,0.00,0.00,59.94,-0.00,-6.50
